"";"xvar";"obs";"boot_lb";"boot_ub"
"101";101;1,37032389765054;-0,0314336453593519;0,120442881240887
"102";102;1,37915488373215;-0,0218769714902729;0,121518185956793
"103";103;1,38082276789475;-0,0212251466393874;0,128062778606519
"104";104;1,39334764367824;-0,0195052892718773;0,128318392561229
"105";105;1,43452038037239;-0,0193397608511716;0,128754695208215
"106";106;1,44703912407883;-0,0182272151474481;0,132695489743486
"107";107;1,44852649912582;-0,0171500823172993;0,13430438718556
"108";108;1,44852849177709;0,0193454138078447;0,150203818567863
"109";109;1,46911905998748;0,0199932257277887;0,199366610004495
"110";110;1,48663567785422;0,0237535929224052;0,204872654833493
"111";111;1,49759157361445;0,0252493672260402;0,211675505891469
"112";112;1,51343580995606;0,029561794116451;0,213461363310977
"113";113;3,15916675919889;0,0317280738024;0,217134617203694
"114";114;3,15916675919889;0,0325736288311843;0,217403660671272
"115";115;3,15916675919889;0,0396189676067086;0,225709691721266
"116";116;3,16018813152558;0,0425302032774345;0,232178906703906
